callsign,mmsi,position,heading,sog,cog,rot,length,width,draught,eta,theme,shiptype,imo,timestamp,destination,id,radarid,referenceid,name,navstatus,bow,stern,port,starboard
null,211232640,"(53.5974816666667,8.35554666666667)",208,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841203,,,,,,,,
null,211884000,"(53.5162566666667,8.57506)",161,0.100000001490116,279.4,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841204,,,,,,,,
null,211884000,"(53.5162566666667,8.57506)",161,0.100000001490116,279.4,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841205,,,,,,,,
null,635950896,"(53.8338166666667,8.07413)",118,14.8999996185303,117,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841206,,,,,,,,
null,635950896,"(53.8338166666667,8.07413)",118,14.8999996185303,117,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841207,,,,,,,,
null,255801580,"(53.9927666666667,8.36406333333333)",283,20.2000007629395,283.7,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841208,,,,,,,,
null,211227580,"(91,181)",511,102.300003051758,360,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841209,,,,,,,,
null,211227580,"(91,181)",511,102.300003051758,360,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841210,,,,,,,,
null,211524514,"(53.5188833333333,8.54115)",511,0.100000001490116,305.3,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841211,,,,,,,,
null,211524514,"(53.5188833333333,8.54115)",511,0.100000001490116,305.3,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841212,,,,,,,,
null,249424464,"(53.56295,8.56435)",338,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841213,,,,,,,,
null,249424464,"(53.56295,8.56435)",338,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841214,,,,,,,,
null,211363300,"(53.6429666666667,8.08355)",59,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841215,,,,,,,,
null,211363300,"(53.6429666666667,8.08355)",59,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841216,,,,,,,,
null,218257000,"(53.6020216666667,8.14865833333333)",170,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841217,,,,,,,,
null,218257000,"(53.6020216666667,8.14865833333333)",170,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841218,,,,,,,,
null,211230400,"(53.98735,7.86093333333333)",77,4.90000009536743,71,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841219,,,,,,,,
null,211230400,"(53.98735,7.86093333333333)",77,4.90000009536743,71,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841220,,,,,,,,
null,211525554,"(53.5134283333333,8.14912166666667)",266,0.100000001490116,297.6,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841221,,,,,,,,
null,211525554,"(53.5134283333333,8.14912166666667)",266,0.100000001490116,297.6,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841222,,,,,,,,
null,211415004,"(53.5250633333333,8.55575166666667)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841223,,,,,,,,
null,209696464,"(53.846,8.04316666666667)",298,19.6000003814697,298,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841224,,,,,,,,
null,209696464,"(53.846,8.04316666666667)",298,19.6000003814697,298,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841225,,,,,,,,
null,564994000,"(53.5690066666667,8.55261)",177,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841226,,,,,,,,
